CellIdx,Sentence
307,"{o selling 500/d of socal, xh lowers overall desk var by $8 million, o selling 500k kv, lowers overall desk var by $4 million, fyi, , frank, 09:26 am ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 04/24/2001 , cc:  }"
308,"{phillip allen, thanks for your help,, bidweek is under way so it is critical that these id's are sent out asap., dexter steis at natural gas intelligence- dexter@intelligencepress.com, liane kucher at inside ferc-  lkuch@mh.com, publications that post the monthly indeces.  please email an id and password , it is bidweek again.  i need to provide view only id's to the two major , griff,, to the following:}"
309,{i think chad deserves an interview.}
310,"{send his resume to karen buckley.  i believe there will be a full round of , interviews for the trading track in may.}"
311,"{trading track interviews in may., have him send his resume to karen buckley in hr.  there is a new round of }"
312,"{trading track program.  please forward his resume to karen buckley., phillip, andrea,, after reviewing bryan hull's resume, i think he would be best suited for the }"
313,"{phillip allen, thank you,, please email your cost estimates when complete., cost over stick built., consider using the panel system if it truly was only a slight increase in , product with very little probability of a sale.  i just want to assure you , i realize you receive a number of calls just seeking information about this , that i am going to build this house in the fall and i would seriously , the panels and having your  framers install them may have to be considered.  , budget i am sure it will take several iterations.  the prospect of purchasing , into the home design i showed you.  in order to make it feasible within my , about the panel system.  i would like to find a way to incorporate the panels , thank you for meeting with me on friday.  i left feeling very optimistic , johnnie,, however, my first choice would be for you to be the general contractor.}"
314,"{mog heu, who will conference in from new york., slides.  i will bring handouts., sent: wednesday, april 18, 2001 10:30 am,  -----original message-----, thanks, karen, if you do have slides preapred,, can you have your assistant e:mail a copy to , the topic will the the western natural gas market.  i may have overhead , cc:  , 02:50 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 04/18/2001 , phillip, can you please forward the presentation to mog., ina, , hi philip}"
315,"{phillip , help you in the process and make the risk rotation unnecessary. unless you , are dying to do another rotation is risk., call ted bland about the trading track program.  all the desks are trying to , chad,, use this program to train analysts to be traders.  your experience should }"
316,"{ apartments, phillip allen, how am i to send them the money for the silent second?  regular mail, , overnight, wire transfer?  i don't see how their bank will make the funds , available by friday unless i wire the money.  if that is what i need to do , please send wiring instructions.}"
317,"{the topic will the the western natural gas market.  i may have overhead , slides.  i will bring handouts.}"
318,"{thank you,, phillip allen, please email your cost estimates when complete., johnnie,, thank you for meeting with me on friday.  i left feeling very optimistic about the panel system.  i would like to find a way to incorporate the panels into the home design i showed you.  in order to make it feasible within my budget i am sure it will take several iterations.  the prospect of purchasing the panels and having your  framers install them may have to be considered.  however, my first choice would be for you to be the general contractor., i realize you receive a number of calls just seeking information about this product with very little probability of a sale.  i just want to assure you that i am going to build this house in the fall and i would seriously consider using the panel system if it truly was only a slight increase in cost over stick built.}"
319,"{driscoll, marde   sr. specialist   east - basis only, arnold, laura   sr. specialist   central - basis only , approved trader list.doc, guerra, jesus   sr. specialist   central - basis only, bangle, christina  sr. specialist   east - basis only, smith, rhonda   sr. specialist   east - basis only, boettcher, amanda  sr. specialist   central - basis only, ruby robinson   specialist   west - basis only, diza, alain   specialist   east - basis only, monday, april 16, 2001, jess p. hewitt, revised, tate, paul   sr. specialist   east - basis only, pendegraft, sherry  sr. specialist   east - basis only, fleming, matt   sr. specialist   east - basis only, blaine, jay   sr. specialist   east - basis only, wiltfong, jim   manager   all desks, barker, jim   sr, specialist   east, ---------------------- forwarded by phillip k allen/hou/ect on 04/18/2001 , 08:10 am ---------------------------, cc:  , approved trader list:, name    title    region  basis only, enron wholesale services (ees gas desk), hewitt, jess   director    all desks, vanderhorst, barry  director    east, west , shireman, kris   director    west, des champs, joe  director    central, reynolds, roger   director    west, migliano, andy    manager   central, black, don   vice president   any desk}"
320,"{the actual policy is signed by vista insurance partners., phillip, closing?, i will be out of town on tuesday.  what else do we need to get done before , walk him around.  , (512)451-6551, please try and schedule the appraiser for sometime after 1 p.m. so my dad can , policy #cbi420478, austin, tx 78761-5427, p.o. box 15427, 6000 n., lamar, central insurance agency, inc, the insurance company is: , contact:  jeanette peterson}"
321,{i will email you with the insurance info tomorrow.  }
322,"{phillip, thanks,, can you take a look and get back to me with the bullish case?, but even without the new plants it looks like q3 is no worse than last year., here is a simplistic spreadsheet.  i didn't drop in the new generation yet, , cc:  , heizenrader/pdx/ect@ect, 	from:  phillip k allen                           04/12/2001 08:09 am, 	, 	,    , 10:33 am ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 04/12/2001 , 	}"
323,"{phillip, here is a simplistic spreadsheet.  i didn't drop in the new generation yet, , but even without the new plants it looks like q3 is no worse than last year., can you take a look and get back to me with the bullish case?, thanks,}"
324,"{phillip, me know the day and time., i will try and get my dad to take the appraiser into a couple of units.  let }"
325,"{larry,, it sounds like claudia and jacques are almost finished with the documents.  , there is one item of which i was unsure.  was an environmental, report prepared before the original purchase?  if yes, shouldn't it be listed , as an asset of the partnership and your costs be recovered?, phillip}"
326,"{phillip, the spreadsheet looks fine to me. , lucy,}"
327,"{bruce,, thank you for your bid.  i have decided on a floor plan.  i am going to have , an architect in austin draw the plans and help me work up a detailed , specification list.  i will send you that detailed plan and spec list when , complete for a final bid.  probably in early to mid june., phillip}"
328,"{phillip, jeff,, jacques craig will draw up a release.  what is the status on the quote from wade?  }"
329,{i still use this service}
330,"{wish).  this figure represents approx 4% of the non-calif wscc.  several , meeting, and perhaps exceeding, the 3,500 mwa figure.  finally, the general , economic slowdown in calif could also further depress demand, or at least , make the 3,500 mwa number that much more attainable., note that all the numbers i am reporting here are for the caiso control area , only, which represents about 89% of total calif load, or 36-37% of wscc , (u.s.) summer load.  i think it is reasonable to assume that the non-iso , portion of calif (i.e., ladwp and iid) will see similar reductions in , demand.  as for the rest of the wscc, that is a much more difficult call.  as , you are aware, the pacific nw has already seen about 2,000 mwa of aluminum , smelter load come off since dec, and this load is expected to stay off at , least through sep, and possibly for the next couple of years (if bpa gets its , mining operations in the sw and rockies have recently announced that they are , 6,500-7,000 mwa when compared with last summer., how many mw this translates to, but i will continue to research the issue.  , other large industrials may follow suit, and the ripple effects from calif's , economic slowdown could be a factor throughout the west.  while the rest of , the wscc may not see the 10%+ reductions that i am expecting in calif, i , think we could easily expect an additional 2-3% (on top of the 4% already , realized), or approx 1,000-1,500 mwa, of further demand reduction in the , non-calif wscc for this summer.  this would bring the total reduction for the , wscc, including the 2,000 mwa aluminum load we have already seen, to around , are being promoted by the state, which can only increase the likelihood of , i am continuing to research and monitor the situation, and will provide you , with updates as new or better information becomes available.  meantime, i , hope this helps.  please feel free to call (503-464-8671) if you have any , questions or need any further information., sharply curtailing production.  i have not yet been able to pin down exactly , jun-aug.  in addition, a number of efforts aimed specifically at conservation , reductions (as opposed to ""forced"" reductions via rolling blackouts).  other , is possible we could see peak demand fall by as much as 10% relative to last , ---------------------- forwarded by phillip k allen/hou/ect on 04/10/2001 , 05:50 pm ---------------------------,    , 	enron north america corp., 	, 	from:  stephen swain                           04/10/2001 11:58 am, 	, cc: tim heizenrader/pdx/ect@ect, tim belden/hou/ect@ect, matt , motley/pdx/ect@ect, michael m driscoll/pdx/ect@ect, chris , mallory/pdx/ect@ect, jeff richter/hou/ect@ect, robert badeer/hou/ect@ect, , sean crandall/pdx/ect@ect, mark fischer/pdx/ect@ect, bill williams , iii/pdx/ect@ect, diana scholtes/hou/ect@ect , year.  this would mean peak demand reductions of approx 3,300-3,500 mwa in , i have been digging into the answer to your question re: demand reduction in , phillip et al.,, march 2000) was absolutely correct.  at this point, it appears that demand , retail market, and that rates are now scheduled to increase, i think that it , decrease we have seen so far has come without any real price signals to the , more percentage points reduction in overall peak demand.  given that the 6% , this scenario is not difficult to imagine, as it would require only a couple , the west.  your intuition as to reductions seen so far (e.g., march 2001 vs. , forecasters (e.g., pira) are estimating that another 1,200-1,300 mwa (making , total year-on-year reduction = 2,700-2,800) will come off starting in june.  , looking forward into the summer, i believe that we will see further voluntary , compared with the previous year., into a reduction of about 1,500-1,600 mwa for last month (march 2001) as , temperature and time of use factors, has fallen by about 6%.  this translates , over the last 12 months in the caiso control area, after adjusting for }"
